run,model,rank,alpha,target_modules,learning_rate,batch_size,grad_accum,effective_batch,max_steps,steps_run,epochs_run,early_stopped,early_stopping_enabled,best_checkpoint,n_train,n_validation,final_train_loss,final_val_loss,val_perplexity,trainable_params,seed,wall_clock_seconds,smoke,fold,adapter,heldout_loss,heldout_perplexity,n_heldout,masking
cv_r8_lr0.0001_f0,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0001,4,4,16,333,300,8.03,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0001_f0/checkpoint-150,598,71,1.5585764567057292,1.7170982360839844,5.568346969883053,4399104,42,2255.7,False,0,/content/poetry-grounding/results/adapters/cv_r8_lr0.0001_f0,1.8606854677200317,6.428141545120548,335,masked
cv_r8_lr0.0001_f1,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0001,4,4,16,333,300,8.01,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0001_f1/checkpoint-150,599,70,1.6311236063639323,1.7491605281829834,5.749773876345285,4399104,42,1879.2,False,1,/content/poetry-grounding/results/adapters/cv_r8_lr0.0001_f1,1.6910468339920044,5.425156972288686,335,masked
cv_r8_lr0.0001_f2,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0001,4,4,16,333,300,8.07,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0001_f2/checkpoint-150,595,75,1.6539107513427735,1.6980483531951904,5.4632745979400426,4399104,42,1831.1,False,2,/content/poetry-grounding/results/adapters/cv_r8_lr0.0001_f2,1.6759910583496094,5.344088829322239,334,masked
cv_r8_lr0.0002_f0,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,250,6.69,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0002_f0/checkpoint-100,598,71,1.4425938110351562,1.723647117614746,5.604933082812401,4399104,42,1869.0,False,0,/content/poetry-grounding/results/adapters/cv_r8_lr0.0002_f0,1.8585649728775024,6.414525145981322,335,masked
cv_r8_lr0.0002_f1,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,250,6.68,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0002_f1/checkpoint-100,599,70,1.512422149658203,1.7522794008255005,5.7677346829638,4399104,42,1560.4,False,1,/content/poetry-grounding/results/adapters/cv_r8_lr0.0002_f1,1.6919962167739868,5.430309968603673,335,masked
cv_r8_lr0.0002_f2,Qwen/Qwen2.5-0.5B,8,16,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,250,6.72,True,True,/content/poetry-grounding/results/checkpoints/cv_r8_lr0.0002_f2/checkpoint-100,595,75,1.5366606903076172,1.7033110857009888,5.492102140041378,4399104,42,1526.0,False,2,/content/poetry-grounding/results/adapters/cv_r8_lr0.0002_f2,1.682775855064392,5.380470667778879,334,masked
cv_r4_lr0.0002_f0,Qwen/Qwen2.5-0.5B,4,8,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,300,8.03,True,True,/content/poetry-grounding/results/checkpoints/cv_r4_lr0.0002_f0/checkpoint-150,598,71,1.5031876627604166,1.7214882373809814,5.592845755808699,2199552,42,2272.2,False,0,/content/poetry-grounding/results/adapters/cv_r4_lr0.0002_f0,1.8651888370513916,6.457155121002657,335,masked
cv_r4_lr0.0002_f1,Qwen/Qwen2.5-0.5B,4,8,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,300,8.01,True,True,/content/poetry-grounding/results/checkpoints/cv_r4_lr0.0002_f1/checkpoint-150,599,70,1.5716559600830078,1.7516584396362305,5.764154255344018,2199552,42,1888.9,False,1,/content/poetry-grounding/results/adapters/cv_r4_lr0.0002_f1,1.694639801979065,5.444684447404018,335,masked
cv_r4_lr0.0002_f2,Qwen/Qwen2.5-0.5B,4,8,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,300,8.07,True,True,/content/poetry-grounding/results/checkpoints/cv_r4_lr0.0002_f2/checkpoint-150,595,75,1.5958436838785808,1.7001850605010986,5.474960496914486,2199552,42,1841.1,False,2,/content/poetry-grounding/results/adapters/cv_r4_lr0.0002_f2,1.679879069328308,5.36490715006636,334,masked
cv_r16_lr0.0002_f0,Qwen/Qwen2.5-0.5B,16,32,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0002,4,4,16,333,250,6.69,True,True,/content/poetry-grounding/results/checkpoints/cv_r16_lr0.0002_f0/checkpoint-100,598,71,1.2724741668701172,1.7352027893066406,5.670077518314673,8798208,42,1871.4,False,0,/content/poetry-grounding/results/adapters/cv_r16_lr0.0002_f0,1.8660112619400024,6.462467830436571,335,masked
